,Pollutant,Symbol,State,CAV_adoption,Year,Concern,Total Emmisions,UOM
Pollutant,Manganese,Mn,AL,Bottom,2008.0,Health,268.495749686028,LB
Pollutant,Mercury,Hg,AL,Bottom,2008.0,Health,14.086491892672232,LB
Pollutant,Methane,CH4,AL,Bottom,2008.0,GHG,2666.1519639640173,TON
Pollutant,Nickel,Ni,AL,Bottom,2008.0,Health,556.115331867372,LB
Pollutant,Nitrogen Oxides,NOx,AL,Bottom,2008.0,Health,133827.7221848789,TON
Pollutant,Nitrous Oxide,N2O,AL,Bottom,2008.0,GHG,1637.6379480581795,TON
Pollutant,PM10 Primary (Filt + Cond),PM10 Prime,AL,Bottom,2008.0,Health,5370.6046961819075,TON
Pollutant,PM2.5 Primary (Filt + Cond),PM2.5 Prime,AL,Bottom,2008.0,Health,3881.0734428111923,TON
Pollutant,Sulfur Dioxide,SO2,AL,Bottom,2008.0,Health,680.636988558038,TON
Pollutant,Volatile Organic Compounds,VOC,AL,Bottom,2008.0,Health,59131.1166709283,TON
Pollutant,Carbon Dioxide,CO2,KY,Bottom,2008.0,GHG,29085383.910658,TON
Pollutant,Carbon Monoxide,CO,KY,Bottom,2008.0,GHG,515411.566736752,TON
Pollutant,Chromium (VI),Cr VI,KY,Bottom,2008.0,Health,393.3234301412964,LB
Pollutant,Manganese,Mn,KY,Bottom,2008.0,Health,223.01770613899401,LB
Pollutant,Mercury,Hg,KY,Bottom,2008.0,Health,11.13034888453957,LB
Pollutant,Methane,CH4,KY,Bottom,2008.0,GHG,2250.707210123486,TON
Pollutant,Nickel,Ni,KY,Bottom,2008.0,Health,458.776450589136,LB
Pollutant,Nitrogen Oxides,NOx,KY,Bottom,2008.0,Health,122228.003321693,TON
Pollutant,Nitrous Oxide,N2O,KY,Bottom,2008.0,GHG,1265.347981873113,TON
Pollutant,PM10 Primary (Filt + Cond),PM10 Prime,KY,Bottom,2008.0,Health,5445.30669691451,TON
Pollutant,PM2.5 Primary (Filt + Cond),PM2.5 Prime,KY,Bottom,2008.0,Health,4281.297731276925,TON
Pollutant,Sulfur Dioxide,SO2,KY,Bottom,2008.0,Health,553.85421151344,TON
Pollutant,Volatile Organic Compounds,VOC,KY,Bottom,2008.0,Health,46798.2523877866,TON
Pollutant,Carbon Dioxide,CO2,MI,Bottom,2008.0,GHG,63633145.864485,TON
Pollutant,Carbon Monoxide,CO,MI,Bottom,2008.0,GHG,1398566.645421716,TON
Pollutant,Chromium (VI),Cr VI,MI,Bottom,2008.0,Health,827.5268143187,LB
Pollutant,Manganese,Mn,MI,Bottom,2008.0,Health,456.5652914442,LB
Pollutant,Mercury,Hg,MI,Bottom,2008.0,Health,23.3820226507722,LB
Pollutant,Methane,CH4,MI,Bottom,2008.0,GHG,6619.80515061145,TON
Pollutant,Nickel,Ni,MI,Bottom,2008.0,Health,942.8763228376,LB
Pollutant,Nitrogen Oxides,NOx,MI,Bottom,2008.0,Health,265825.00522663,TON
Pollutant,Nitrous Oxide,N2O,MI,Bottom,2008.0,GHG,3033.83672644975,TON
Pollutant,PM10 Primary (Filt + Cond),PM10 Prime,MI,Bottom,2008.0,Health,14161.11872725594,TON
Pollutant,PM2.5 Primary (Filt + Cond),PM2.5 Prime,MI,Bottom,2008.0,Health,10897.038846173475,TON
Pollutant,Sulfur Dioxide,SO2,MI,Bottom,2008.0,Health,1257.6344234339,TON
Pollutant,Volatile Organic Compounds,VOC,MI,Bottom,2008.0,Health,121293.539720174,TON
Pollutant,Carbon Dioxide,CO2,LA,Bottom,2008.0,GHG,27796861.247019902,TON
Pollutant,Carbon Monoxide,CO,LA,Bottom,2008.0,GHG,490106.8433702934,TON
Pollutant,Chromium (VI),Cr VI,LA,Bottom,2008.0,Health,381.8416057645828,LB
Pollutant,Manganese,Mn,LA,Bottom,2008.0,Health,208.160594446548,LB
Pollutant,Mercury,Hg,LA,Bottom,2008.0,Health,10.812694862529314,LB
Pollutant,Methane,CH4,LA,Bottom,2008.0,GHG,1894.3476957915163,TON
Pollutant,Nickel,Ni,LA,Bottom,2008.0,Health,430.62758929154,LB
Pollutant,Nitrogen Oxides,NOx,LA,Bottom,2008.0,Health,108646.4437073649,TON
Pollutant,Nitrous Oxide,N2O,LA,Bottom,2008.0,GHG,1282.829065248422,TON
Pollutant,PM10 Primary (Filt + Cond),PM10 Prime,LA,Bottom,2008.0,Health,4603.9674907334365,TON
Pollutant,PM2.5 Primary (Filt + Cond),PM2.5 Prime,LA,Bottom,2008.0,Health,3422.043058057189,TON
Pollutant,Sulfur Dioxide,SO2,LA,Bottom,2008.0,Health,536.920255260849,TON
Pollutant,Volatile Organic Compounds,VOC,LA,Bottom,2008.0,Health,46013.8270520073,TON
Pollutant,Carbon Dioxide,CO2,AR,Bottom,2008.0,GHG,19767263.44045404,TON
Pollutant,Carbon Monoxide,CO,AR,Bottom,2008.0,GHG,470695.7091412236,TON
Pollutant,Chromium (VI),Cr VI,AR,Bottom,2008.0,Health,269.77983780477354,LB
Pollutant,Manganese,Mn,AR,Bottom,2008.0,Health,147.18647479479145,LB
Pollutant,Mercury,Hg,AR,Bottom,2008.0,Health,7.653559384242214,LB
Pollutant,Methane,CH4,AR,Bottom,2008.0,GHG,1803.2941871364942,TON
Pollutant,Nickel,Ni,AR,Bottom,2008.0,Health,304.4606962402332,LB
Pollutant,Nitrogen Oxides,NOx,AR,Bottom,2008.0,Health,88415.988868112,TON
Pollutant,Nitrous Oxide,N2O,AR,Bottom,2008.0,GHG,1053.0734734859916,TON
Pollutant,PM10 Primary (Filt + Cond),PM10 Prime,AR,Bottom,2008.0,Health,3646.911118953765,TON
Pollutant,PM2.5 Primary (Filt + Cond),PM2.5 Prime,AR,Bottom,2008.0,Health,2817.7232770032633,TON
Pollutant,Sulfur Dioxide,SO2,AR,Bottom,2008.0,Health,818.9500070378884,TON
Pollutant,Volatile Organic Compounds,VOC,AR,Bottom,2008.0,Health,40952.44724183263,TON
Pollutant,Carbon Dioxide,CO2,OK,Bottom,2008.0,GHG,29883155.899054,TON
Pollutant,Carbon Monoxide,CO,OK,Bottom,2008.0,GHG,635713.19788044,TON
Pollutant,Chromium (VI),Cr VI,OK,Bottom,2008.0,Health,403.79656816199,LB
Pollutant,Manganese,Mn,OK,Bottom,2008.0,Health,223.55669211962,LB
Pollutant,Mercury,Hg,OK,Bottom,2008.0,Health,11.43055475767772,LB
Pollutant,Methane,CH4,OK,Bottom,2008.0,GHG,2519.003259113297,TON
Pollutant,Nickel,Ni,OK,Bottom,2008.0,Health,461.44423433148,LB
Pollutant,Nitrogen Oxides,NOx,OK,Bottom,2008.0,Health,135337.507256852,TON
Pollutant,Nitrous Oxide,N2O,OK,Bottom,2008.0,GHG,1427.952991485172,TON
Pollutant,PM10 Primary (Filt + Cond),PM10 Prime,OK,Bottom,2008.0,Health,5647.3959733759,TON
Pollutant,PM2.5 Primary (Filt + Cond),PM2.5 Prime,OK,Bottom,2008.0,Health,4352.701020078054,TON
Pollutant,Sulfur Dioxide,SO2,OK,Bottom,2008.0,Health,1207.27880972884,TON
Pollutant,Volatile Organic Compounds,VOC,OK,Bottom,2008.0,Health,56959.7271387074,TON
Pollutant,Carbon Monoxide,CO,CA,Top,2008.0,GHG,2226017.663,TON
Pollutant,Manganese,Mn,CA,Top,2008.0,Health,6965.3577270000005,LB
Pollutant,Mercury,Hg,CA,Top,2008.0,Health,710.998388,LB
Pollutant,Nickel,Ni,CA,Top,2008.0,Health,6773.935228,LB
Pollutant,Nitrogen Oxides,NOx,CA,Top,2008.0,Health,578276.3575,TON
Pollutant,PM10 Primary (Filt + Cond),PM10 Prime,CA,Top,2008.0,Health,28177.084,TON
Pollutant,PM2.5 Primary (Filt + Cond),PM2.5 Prime,CA,Top,2008.0,Health,21183.331,TON
Pollutant,Sulfur Dioxide,SO2,CA,Top,2008.0,Health,1974.613,TON
Pollutant,Volatile Organic Compounds,VOC,CA,Top,2008.0,Health,247367.508,TON
Pollutant,Carbon Dioxide,CO2,WA,Top,2008.0,GHG,35047059.744189,TON
Pollutant,Carbon Monoxide,CO,WA,Top,2008.0,GHG,1001689.026359389,TON
Pollutant,Chromium (VI),Cr VI,WA,Top,2008.0,Health,462.888461257244,LB
Pollutant,Manganese,Mn,WA,Top,2008.0,Health,255.69799388506,LB
Pollutant,Mercury,Hg,WA,Top,2008.0,Health,13.08210693930822,LB
Pollutant,Methane,CH4,WA,Top,2008.0,GHG,3657.097305076517,TON
Pollutant,Nickel,Ni,WA,Top,2008.0,Health,527.96269519194,LB
Pollutant,Nitrogen Oxides,NOx,WA,Top,2008.0,Health,166030.476417848,TON
Pollutant,Nitrous Oxide,N2O,WA,Top,2008.0,GHG,2135.963871828366,TON
Pollutant,PM10 Primary (Filt + Cond),PM10 Prime,WA,Top,2008.0,Health,8828.52201751053,TON
Pollutant,PM2.5 Primary (Filt + Cond),PM2.5 Prime,WA,Top,2008.0,Health,7051.801653712836,TON
Pollutant,Sulfur Dioxide,SO2,WA,Top,2008.0,Health,905.10752389263,TON
Pollutant,Volatile Organic Compounds,VOC,WA,Top,2008.0,Health,76361.0406148539,TON
Pollutant,Carbon Dioxide,CO2,OR,Top,2008.0,GHG,20004016.438559,TON
Pollutant,Carbon Monoxide,CO,OR,Top,2008.0,GHG,523920.048947102,TON
Pollutant,Chromium (VI),Cr VI,OR,Top,2008.0,Health,281.55568230754,LB
Pollutant,Manganese,Mn,OR,Top,2008.0,Health,149.80922921378001,LB
Pollutant,Mercury,Hg,OR,Top,2008.0,Health,7.9921779792624,LB
Pollutant,Methane,CH4,OR,Top,2008.0,GHG,2053.683609801151,TON
Pollutant,Nickel,Ni,OR,Top,2008.0,Health,311.0262112898,LB
Pollutant,Nitrogen Oxides,NOx,OR,Top,2008.0,Health,90378.70306681,TON
